Lineage,Superorder,Orders_Scientific_Name_50MYA,Family.Scientific.Name,Scientific.Name,English.Name,NCBI.taxon.ID,Status,Assembly.ID,Sex.chromosomes.main.haploptype,sex,Accession_num_main_haplotype,RefSeq.annotation.main.haplotype,Accession_nums_other_high_quality_haplotypes,Assembly.tech,Assembly.Size,Num_of_contigs,CITES,Main.project,Second.project,Expected_sex_chromosomes,Hetergametic_Sequenced,Sexual.system,Sex_Chromosome_System_Karyotype,Genotypic,Environmental_SD,Assembled_PAR,Neo_Sex_Chr,Notes,FurtherInvestigation,Tried_KmerApproach,Validated_KmerApproach,PututativeSexChrs_IDed_KmerApproach,NotValidated_Kmer_Reason,DotPlots,Kmer.Notes,Mirror.Plot.comments,Tried_HalfDeep,Validated_HalfDeep,HalfDeep_Super_Sca_.50.,assemblyLevel,collection_date,geo_loc_name,sequencingTech,genomeCoverage,totalNumberOfChromosomes
Fishes,Actinopterygii (Ray-finned Fishes),Atheriniformes,Melanotaeniidae,Melanotaenia boesemani,Boeseman’s rainbowfish,1250792,4,fMelBoe1,No,UN,GCA_017639745.1,GCF_017639745.1,,"CLR II, FALCON unzip","865,592,457",533,,VGP,,UN,UN,gonochorous,UN,UN,UN,,,,,,,,,,,,Y,,no halfdeep,Chromosome,8/8/18,Singapore,PacBio Sequel CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,60,24
Fishes,Actinopterygii (Ray-finned Fishes),Chaetodontiformes,Chaetodontidae,Chelmon rostratus,copperband butterflyfish,109905,4,fCheRos1,No,UN,GCA_017976325.1,GCF_017976325.1,,"CLR II, FALCON unzip","644,208,431",89,,VGP,,UN,UN,gonochorous,UN,UN,UN,,,,,,,,,,,,Y,,no halfdeep,Chromosome,6/20/18,Singapore,PacBio Sequel II CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,60,24
Fishes,Actinopterygii (Ray-finned Fishes),incertae sedis in Carangimorphariae,Toxotidae,Toxotes jaculatrix,banded archerfish,941984,4,fToxJac2,No,UN,GCA_017976425.1,GCF_017976425.1,,"CLR II, FALCON unzip","621,503,431",194,,VGP,,UN,UN,gonochorous,UN,UN,UN,,,,,,,,,,,,Y,,no halfdeep,Chromosome,10/29/19,Singapore,PacBio Sequel; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,60,24
Fishes,Actinopterygii (Ray-finned Fishes),Clupeiformes,Clupeidae,Alosa sapidissima,American shad,34773,,fAloSap1,No,M,GCA_018492685.1,GCF_018492685.1,,"HiFi, Hifiasm solo","903,581,644","1,713",,VGP,,XY,Y,gonochorous,XY,male heterogametic,No,,,"https://pmc.ncbi.nlm.nih.gov/articles/PMC9980781/#:~:text=Chromosome%203%20could%20be%20assumed,Alosa%20sapidissima%20in%20commercial%20aquaculture.",,,,,,,,,Y,,15_58.9% | 21_57% | 23_54.4% | 8_52.4%,Chromosome,2/7/20,"USA: St. Johns River, Florida",PacBio Sequel II HiFi; 10X Genomics linked reads; Bionano Genomics DLS; Arima Genomics Hi-C,33,24
Fishes,Actinopterygii (Ray-finned Fishes),insertae sedis in Eupercaria,Scatophagidae,Scatophagus argus,spotted scat,75038,4,fScaArg1,No,UN,GCA_020382885.1,GCF_020382885.2,,"CLR I, FALCON unzip","570,802,272",125,,VGP,,XY or XX,UN,gonochorous,XY,male heterogametic,No,,,,,,,,,,,,Y,,no halfdeep,Chromosome,8/6/18,Singapore,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,92.59,24
Fishes,Actinopterygii (Ray-finned Fishes),Cyprinodontiformes,Goodeidae,Girardinichthys multiradiatus,darkedged splitfin,208333,,DD_fGirMul_XY1,Has X and Y,M,GCA_021462225.2,GCF_021462225.1,,"CLR I, Damar","1,150,004,004",480,,VGP,,XY,Y,gonochorous,XY,male heterogametic,No,,,,,,,,,,,,N,,NA,Chromosome,,,PacBio Sequel I CLR; 10X Genomics linked reads; Arima Genomics Hi-C; Bionano Genomics DLS,33,25
Fishes,Actinopterygii (Ray-finned Fishes),Characiformes,Acestrorhamphidae,Astyanax mexicanus,Mexican tetra,7994,,fAstMex1,No,F,GCA_023375975.1,GCF_023375975.1,,,,,,Individual,,UN,UN,gonochorous,UN,UN,UN,,,sex possibly determined by male B chroms? https://www.sciencedirect.com/science/article/pii/S0960982221011349,,,,,,,,,Y,,no halfdeep,Chromosome,,,PacBio Sequel,35,25
Fishes,Actinopterygii (Ray-finned Fishes),Siluriformes,Ariidae,Pangasianodon hypophthalmus,striped catfish,310915,,fPanHyp1,No,UN,GCA_027358585.1,GCF_027358585.1,,"HiFi, Hifiasm solo","764,974,446",294,,VGP,,XY or XX,UN,gonochorous,XY,male heterogametic,No,,,"https://pmc.ncbi.nlm.nih.gov/articles/PMC9555307/#:~:text=Based%20on%20a%20chromosome%2Dscale,recruitment%20of%20teleost%20MSD%20genes.",,,,,,,,,Y,,no halfdeep,Chromosome,,Germany: Frankfurt,PacBio Sequel II HiFi; Bionano Genomics DLS; Arima Hi-C v2,23.9,30
Fishes,Actinopterygii (Ray-finned Fishes),Scombriformes,Scombridae,Scomber japonicus,Pacific chub mackerel,13676,,fScoJap1,No,M,GCA_027409825.1,GCF_027409825.1,,"HiFi, Hifiasm solo","828,681,152","1,932",,VGP,,UN,UN,gonochorous,UN,UN,No,,,https://link.springer.com/article/10.1007/s12562-021-01548-z,,,,,,,,,Y,,no halfdeep,Chromosome,7/8/19,"South Korea: Gyeongsangnam, near Dara National Park",PacBio Sequel II HiFi; Arima Hi-C v2,49.19,24
Fishes,Actinopterygii (Ray-finned Fishes),Siluriformes,Ariidae,Neoarius graeffei,blue salmon catfish,443677,,fNeoGra1,No,UN,GCA_027579695.1,GCF_027579695.1,,"HiFi, Hifiasm solo","2,341,916,362",372,,VGP,,UN,UN,gonochorous,UN,UN,No,,,,,,,,,,,,Y,,no halfdeep,Chromosome,8/7/20,Australia: Ayr,PacBio Sequel II HiFi; Bionano DLS; Arima Hi-C v2,33.08,28
Fishes,Actinopterygii (Ray-finned Fishes),Characiformes,Erythrinidae,Hoplias malabaricus,trahira,27720,,fHopMal1,"Has X1, X2, and Y",M,GCA_029633855.2,GCF_029633855.1,GCA_029633875.2,"HiFi, Hifiasm Hi-C phasing","1,186,354,877","1,586",,VGP,,"X1, X2, and Y",Y,gonochorous,complex XY,male heterogametic,No,,?,,,Y,N,NA,haplotypes are extremely different quality,Hoplias_malabaricus_dotPlot_kmers_v2.1.pdf,,,Y,Y,SUPER_X1_0.99 | SUPER_X2_0.98 | SUPER_Y_0.95,Chromosome,4/21/21,"Brazil: Represa do Rio Monjolinho - Sao Carlos, State of Sao Paulo",PacBio Sequel II HiFi; Bionano DLS; Arima Hi-C v2,26.87,21
Fishes,Actinopterygii (Ray-finned Fishes),Lampridiformes,Lampridae,Lampris incognitus,smalleye Pacific opah,2546036,4,fLamInc1,No,M,GCA_029633865.1,GCF_029633865.1,GCA_029633845.1,"HiFi, Hifiasm Hi-C phasing","1,482,357,630","3,659",,VGP,,UN,UN,gonochorous,UN,UN,UN,,,,,,,,,,,,Y,,21_54.5%,Chromosome,7/18/12,"USA: Pacific, San Diego Coast",PacBio Sequel II HiFi; Arima Hi-C v2,32,21
Fishes,Actinopterygii (Ray-finned Fishes),Siluriformes,Trichomycteridae,Trichomycterus rosablanca,Rosablanca cavefish,2290929,,fTriRos1,No,M,GCA_030014385.1,GCF_030014385.1,GCA_030015355.1,"HiFi, Hifiasm Hi-C phasing","1,045,025,885",547,,Individual,VGP,UN,UN,gonochorous,UN,UN,UN,,,,,,,,,,,,Y,,no halfdeep,Chromosome,6/26/21,"Colombia: Andes Mountains, Santander",PacBio Sequel II HiFi; Arima Hi-C v2,40,27
Fishes,Actinopterygii (Ray-finned Fishes),Characiformes,Bryconidae,Salminus brasiliensis,golden dorado,930266,,fSalBra1,No,M,GCA_030463535.1,GCF_030463535.1,GCA_030448965.1,"HiFi, Hifiasm Hi-C phasing","1,066,501,646",830,,VGP,,UN,UN,gonochorous,UN,UN,No,,,https://onlinelibrary.wiley.com/doi/full/10.1111/jai.13430?casa_token=2FbbTFaLZZUAAAAA%3ATX0sTrPNKPDkq38PzvLNZj_hxYO12H-kDrFr2fIjd1ee_yWNd3xJWoMpmtou82kS7RTq-M7KYYa0kKQ,,,,,,,,,Y,,no halfdeep,Chromosome,3/12/21,"Argentina: Rio de la Plata, Buenos Aires",PacBio Sequel II HiFi; Bionano DLS; Arima Hi-C v2,40,25
Fishes,Actinopterygii (Ray-finned Fishes),Amiiformes,Amiidae,Amia calva,bowfin,7924,4,fAmiCal2,No,F,GCA_036373705.1,GCF_036373705.1,GCA_036365475.1,"HiFi, Hifiasm Hi-C phasing","989,120,851",487,,VGP,,UN,UN,gonochorous,UN,UN,UN,,,https://www.nature.com/articles/s41588-021-00914-y,,Y,New?,14?,,Amia_calva_dotPlot_kmers_v2.1.pdf,chr14,These mirror plots look off - may chromosomes are maybe in reverse order? It makes it difficult to identify patterns that are different.,Y,,no halfdeep,Chromosome,3/15/23,"USA: Vacherie, Louisiana",PacBio Revio HiFi; Arima Hi-C v2,52,23
Fishes,Actinopterygii (Ray-finned Fishes),Chaetodontiformes,Chaetodontidae,Chaetodon trifascialis,chevron butterflyfish,109706,,fChaTrf1,No,M,GCA_039877785.1,GCF_039877785.1,GCA_039877575.1,"HiFi, Hifiasm Hi-C phasing","662,505,520",86,,Hypothalamus,,None,NA,gonochorous,None,NA,size,,,,,Y,"NA; ESD, hap quality",,hap quality,Chaetodon_trifascialis_dotPlot_kmers_v2.1.pdf,chr6,,Y,,no halfdeep,Chromosome,7/20/19,Saudi Arabia: Red Sea,PacBio Sequel II HiFi; Arima Hi-C v2,61.3,24
Fishes,Actinopterygii (Ray-finned Fishes),Lepisosteiformes,Lepisosteidae,Lepisosteus oculatus,spotted gar,7918,4,fLepOcu1,"Has Y1,Y2",M,GCA_040954835.1,GCF_040954835.1,GCA_040954845.1,"HiFi, Hifiasm Hi-C phasing","1,200,606,178",912,,VGP,,UN,UN,gonochorous,UN,UN,No,,?,https://doi.org/10.1093/molbev/msac279,,Y,New,"14, 18, male heterogametic",,Lepisosteus_oculatus_dotPlot_kmers_v2.1.pdf,chr14 and chr18,"Yes, look into chr14 and chr18 more",Y,,14_75.7% | 18_70.9%,Chromosome,4/11/23,"USA: Vacherie, Louisiana",PacBio Revio HiFi; Arima Hi-C v2,50.38,29
Fishes,Actinopterygii (Ray-finned Fishes),Pempheriformes,Pempheridae,Pempheris klunzingeri,rough bullseye,490270,4,fPemKlu1,No,UN,GCA_042242105.1,GCF_042242105.1,GCA_042242125.1,"HiFi, Hifiasm Hi-C phasing","646,252,061",528,,Minderoo OceanOmics,,UN,UN,UN,UN,UN,UN,,,,,Y,New,7; Unknown sex,,Pempheris_klunzingeri_dotPlot_kmers_v2.1.pdf,"chr7, chr8, chr14",,Y,,no halfdeep,Chromosome,3/28/23,"Australia: Western Australia, New Year Island",PacBio Sequel IIe,103,24
Fishes,Actinopterygii (Ray-finned Fishes),Centrarchiformes,Centrarchidae,Enoplosus armatus,old wife,215367,4,fEnoArm2,No,UN,GCA_043641665.1,GCF_043641665.1,GCA_043640875.1,"HiFi, Hifiasm Hi-C phasing","579,881,259",249,,Minderoo OceanOmics,,UN,UN,gonochorous,UN,UN,UN,,,,,,,,,,,,Y,,no halfdeep,Chromosome,4/1/23,"Australia: Western Australia, Middle Island",PacBio Sequel IIe,102,24
Fishes,Actinopterygii (Ray-finned Fishes),Anabantiformes,Anabantidae,Anabas testudineus,climbing perch,64144,4,fAnaTes1,No,M,GCA_900324465.3,GCF_900324465.2,,"CLR I, FALCON unzip","555,658,509",317,,VGP,,UN,UN,gonochorous,UN,UN,UN,,,,,,,,,,,,Y,,no halfdeep,Chromosome,,,"PacBio,Illumina,BioNano,Arima",68,23
Fishes,Actinopterygii (Ray-finned Fishes),Synbranchiformes,Mastacembelidae,Mastacembelus armatus,zig-zag eel,205130,4,fMasArm1,No,UN,GCA_900324485.3,GCF_900324485.2,,"CLR I, FALCON unzip","591,951,591",359,,VGP,,XY or XX,UN,gonochorous,XY,male heterogametic,No,,,https://doi.org/10.1016/j.aquaculture.2020.735550,,,,,,,,,Y,,no halfdeep,Chromosome,,,"PacBio,Illumina,BioNano,Arima",52,24
Fishes,Actinopterygii (Ray-finned Fishes),Perciformes,Bovichtidae,Cottoperca gobio,channel bull blenny,56716,4,fCotGob3,No,UN,GCA_900634415.1,GCF_900634415.1,,"CLR I, FALCON unzip","609,391,784",766,,VGP,,UN,UN,gonochorous,UN,UN,UN,,,,,,,,,,,,Y,,no halfdeep,Chromosome,,,"PacBio,Illumina",75,24
Fishes,Actinopterygii (Ray-finned Fishes),incertae sedis in Ovalentaria,Ambassidae,Parambassis ranga,Indian glassy fish,210632,4,fParRan2,No,UN,GCA_900634625.2,GCF_900634625.1,,"CLR I, FALCON unzip","551,029,983","1,678",,VGP,,UN,UN,gonochorous,UN,UN,UN,,,,,,,,,,,,Y,,no halfdeep,Chromosome,,,"PacBio,Illumina,BioNano,Arima",101,22
Fishes,Actinopterygii (Ray-finned Fishes),Gobiesociformes,Gobiesocidae,Gouania willdenowi,blunt-snouted clingfish,441366,4,fGouWil1,No,UN,GCA_900634775.2,GCF_900634775.1,,"CLR I, FALCON unzip","937,169,869","1,595",,VGP,,UN,UN,gonochorous,UN,UN,UN,,,,,,,,,,,,Y,,no halfdeep,Chromosome,,,"PacBio,Illumina,BioNano,Arima",58,23
Fishes,Actinopterygii (Ray-finned Fishes),Anabantiformes,Osphronemidae,Betta splendens,Siamese fighting fish,158456,,fBetSpl5,No,M,GCA_900634795.4,GCF_900634795.4,,"CLR I, FALCON unzip","426,984,265",398,,VGP,,None,NA,gonochorous,None,NA,ESD_other,,,,,,,,,,,,Y,,no halfdeep,Chromosome,,,"PacBio,Illumina",48,21
Fishes,Actinopterygii (Ray-finned Fishes),Clupeiformes,Denticipitidae,Denticeps clupeoides,denticle herring,299321,4,fDenClu1,No,UN,GCA_900700375.2,GCF_900700375.1,,"CLR, FALCON unzip","567,417,970",925,,VGP,,UN,UN,gonochorous,UN,UN,UN,,,,,,,,,,,,Y,,MT_100%,Chromosome,,,"PacBio,Illumina,BioNano,Arima",63,20
Fishes,Actinopterygii (Ray-finned Fishes),Polypteriformes,Polypteridae,Erpetoichthys calabaricus,reedfish,27687,4,fErpCal1.3,No,UN,GCA_900747795.4,GCF_900747795.2,,"CLR II, FALCON unzip","3,613,551,089","1,600",,VGP,,UN,UN,gonochorous,UN,UN,UN,,,,,,,,,,,,Y,,no halfdeep,Chromosome,,,,58,18
Fishes,Actinopterygii (Ray-finned Fishes),Spariformes,Sparidae,Sparus aurata,gilthead seabream,8175,4,fSpaAur1,No,UN,GCA_900880675.2,GCF_900880675.1,,"CLR II, FALCON unzip","833,595,063","1,244",,VGP,,None,NA,hermaphrodite,None,NA,No,,,,,,,,,,,,Y,,no halfdeep,Chromosome,,,"PacBio,Illumina,Arima",56,24
Fishes,Actinopterygii (Ray-finned Fishes),Carangiformes,Echeneidae,Echeneis naucrates,live sharksucker,173247,4,fEcheNa1,No,UN,GCA_900963305.2,GCF_900963305.1,,"CLR II, FALCON unzip","544,229,243",178,,VGP,,UN,UN,gonochorous,UN,UN,UN,,,,,,,,,,,,Y,,no halfdeep,Chromosome,,,"PacBio,Illumina,BioNano,Dovetail",62,24
Fishes,Actinopterygii (Ray-finned Fishes),Osteoglossiformes,Osteoglossidae,Scleropages formosus,golden arowana,113540,4,fSclFor1,No,UN,GCA_900964775.1,GCF_900964775.1,,"CLR I, FALCON unzip","784,563,014",217,,VGP,,UN,UN,gonochorous,UN,UN,No,,,https://academic.oup.com/gigascience/article/doi/10.1093/gigascience/giac085/6700067,,,,,,,,,Y,,no halfdeep,Chromosome,,,"PacBio,Illumina,BioNano,Arima",72,25
Fishes,Actinopterygii (Ray-finned Fishes),Tetraodontiformes,Tetraodontidae,Takifugu rubripes,Japanese puffer (torafugu),31033,4,fTakRub1,No,M,GCA_901000725.3,GCF_901000725.2,,"CLR II, FALCON unzip","384,126,663",530,,VGP,,XY,Y,gonochorous,XY,male heterogametic,No,,,,,,,,,,,,Y,,no halfdeep,Chromosome,,,"PacBio,Illumina,BioNano,Arima",83,22
Fishes,Actinopterygii (Ray-finned Fishes),Syngnathiformes,Syngnathidae,Syngnathus acus,greater pipefish,161584,4,fSynAcu1,No,UN,GCA_901709675.2,GCF_901709675.1,GCA_948146105.1,"CLR I, FALCON unzip","324,331,233",130,,VGP,,UN,UN,gonochorous,UN,UN,No,,,Possibly XY? https://academic.oup.com/mbe/article/40/1/msac279/6964685,,Y,N,In_progress,No outlier,Syngnathus_acus_dotPlot_kmers_v2.1.pdf,"chr17, chr11 - also why is chr10 the largest?",,Y,,no halfdeep,Chromosome,,,"PacBio,Illumina,Dovetail",96,22
Fishes,Actinopterygii (Ray-finned Fishes),Blenniiformes,Blenniidae,Salarias fasciatus,jewelled blenny,181472,4,fSalaFa1,No,UN,GCA_902148845.1,GCF_902148845.1,,"CLR I, FALCON unzip","797,507,141",805,,VGP,,UN,UN,gonochorous,UN,UN,UN,,,,,,,,,,,,Y,,no halfdeep,Chromosome,,,"PacBio,Illumina,BioNano,Arima",96,22
Fishes,Actinopterygii (Ray-finned Fishes),Kurtiformes,Apogonidae,Sphaeramia orbicularis,orbiculate cardinalfish,375764,4,fSphaOr1,No,M,GCA_902148855.1,GCF_902148855.1,,"CLR I, FALCON unzip","1,342,662,642","2,183",,VGP,,UN,UN,gonochorous,UN,UN,UN,,,,,,,,,,,,Y,,no halfdeep,Chromosome,,,"PacBio,Illumina,BioNano,Arima",53,23
Fishes,Actinopterygii (Ray-finned Fishes),Holocentriformes,Holocentridae,Myripristis murdjan,pinecone soldierfish,586833,4,fMyrMur1,No,UN,GCA_902150065.1,GCF_902150065.1,,"CLR I, FALCON unzip","835,254,674",340,,VGP,,UN,UN,gonochorous,UN,UN,UN,,,,,,,,,,,,Y,,no halfdeep,Chromosome,,,"PacBio,Illumina,BioNano,Arima",45,24
Fishes,Actinopterygii (Ray-finned Fishes),Gadiformes,Gadidae,Gadus morhua,Atlantic cod,8049,4,fGadMor3,No,UN,GCA_902167405.1,GCF_902167405.1,,"CLR I, FALCON unzip","669,966,409","1,442",,VGP,,XY or XX,UN,gonochorous,XY,male heterogametic,No,,,https://www.nature.com/articles/s41598-018-36748-8,,,,,,,,,Y,,no halfdeep,Chromosome,,,"PacBio,Illumina,BioNano,Arima",83,23
Fishes,Actinopterygii (Ray-finned Fishes),Gonorynchiformes,Chanidae,Chanos chanos,milkfish,29144,4,fChaCha1,No,UN,GCA_902362185.1,GCF_902362185.1,,"CLR II, FALCON unzip","656,929,047",142,,VGP,,UN,UN,gonochorous,UN,UN,UN,,,,,,,,,,,,Y,,no halfdeep,Chromosome,,,"PacBio,Illumina,BioNano,Dovetail",68,16
Fishes,Actinopterygii (Ray-finned Fishes),Batrachoidiformes,Batrachoididae,Thalassophryne amazonica,prehistoric monster fish,390379,4,fThaAma1,No,UN,GCA_902500255.1,GCF_902500255.1,,"CLR I, FALCON unzip","2,446,592,878","3,013",,VGP,,UN,UN,gonochorous,UN,UN,UN,,,,,,,,,,,,Y,,no halfdeep,Chromosome,,,"PacBio,Illumina,BioNano,Arima",67,23
Fishes,Actinopterygii (Ray-finned Fishes),Acipenseriformes,Acipenseridae,Acipenser ruthenus,sterlet,7906,4,fAciRut3,No,UN,GCA_902713425.2,GCF_902713425.1,GCA_902713435.2,"HiFi, TrioCanu","1,899,810,788","2,164",,VGP,,UN,UN,gonochorous,ZW,female heterogametic,No,,,,,Y,N,N,No outliers besides chr 1,Acipenser_ruthenus_dotPlot_kmers_v2.1.pdf,,,Y,,32_65% | 34_64.3% | 38_62.6% | 60_57.7% | 58_51.3%,Chromosome,,,,61,60
Fishes,Actinopterygii (Ray-finned Fishes),Perciformes,Sparidae,Acanthopagrus latus,yellowfin sea bream,8177,,fAcaLat1,No,F,GCA_904848185.1,GCF_904848185.1,,"CLR, FALCON unzip","685,144,197",215,,VGP,,None,NA,hermaphrodite,None,NA,No,,,hermaphrodites; born male and can become female,,,,,,,,,N,,NA,Chromosome,,,"PacBio,Illumina,BioNano,HiC",60,24
Fishes,Actinopterygii (Ray-finned Fishes),Scombriformes,Scombridae,Thunnus maccoyii,southern bluefin tuna,8240,4,fThuMac1,No,M,GCA_910596095.1,GCF_910596095.1,,"HiFi, Hifiasm solo","782,423,979",153,,DToL,,XY,Y,gonochorous,XY,male heterogametic,No,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC8693018/,,,,,,,,,Y,,no halfdeep,Chromosome,2/25/19,Australia,"PacBio,Illumina,BioNano,Arima",46,24
Fishes,Actinopterygii (Ray-finned Fishes),Scombriformes,Scombridae,Thunnus albacares,yellowfin tuna,8236,,fThuAlb1,No,UN,GCA_914725855.1,GCF_914725855.1,,"HiFi, Hifiasm solo","792,101,331",138,,DToL,,XY or XX,UN,gonochorous,XY,male heterogametic,No,,,https://link.springer.com/article/10.1007/s11033-023-09117-6,,,,,,,,,Y,,no halfdeep,Chromosome,2/9/13,Australia,"PacBio,Illumina,Arima",45,24
